Car Model,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Car Age
Hyundai i10,50180,Petrol,Manual,1,2.5,13
Hyundai i10,52240,Petrol,Manual,1,1.0,15
Nissan Micra,130000,Diesel,Manual,2,1.3,13
Hyundai NEW I20,49610,Petrol,Manual,1,6.6,4
Mahindra Scorpio,35330,Diesel,Manual,2,11.5,4
Hyundai Xcent,74920,Petrol,Manual,4,2.9,10
Honda Amaze,69580,Petrol,Manual,1,3.0,10
Nissan Micra,94740,Diesel,Manual,2,1.1,14
Honda Brio,41910,Petrol,Manual,3,1.78,13
Maruti Alto 800,130000,Petrol,Manual,3,2.4,9
Honda Brio,73170,Petrol,Manual,3,1.74,13
Maruti Alto K10,27870,Petrol,Manual,1,1.85,13
Hyundai Grand i10,81420,Petrol,Manual,2,2.0,11
Hyundai Eon,49190,Petrol,Manual,3,1.3,14
Maruti Ritz,150000,Diesel,Manual,2,1.93,11
Maruti Ciaz,890000,Petrol,Manual,2,4.2,8
Tata NEXON,26030,Petrol,Manual,1,8.0,1
Renault Duster,95290,Diesel,Manual,3,2.24,13
Volkswagen Polo,92540,Petrol,Manual,1,2.6,12
Mahindra Scorpio,31350,Diesel,Manual,1,11.0,7
Hyundai Santro Xing,110000,Petrol,Manual,1,1.4,14
Honda City,110000,Petrol,Manual,1,3.5,13
Honda Civic,92680,Petrol,Manual,2,2.8,15
Mahindra TUV300,25120,Diesel,Auto,1,4.5,7
Nissan Terrano,90300,Diesel,Manual,2,2.0,11
Maruti Swift,87090,Diesel,Manual,3,2.7,9
KIA SONET,22680,Petrol,Manual,1,7.21,4
Jeep Compass,94340,Diesel,Manual,1,8.91,7
Ford Fiesta,79900,Diesel,Manual,1,1.5,15
Maruti Alto K10,53570,Petrol,Manual,3,1.3,14
Hyundai i10,110000,Petrol,Manual,3,2.47,10
Maruti Vitara Brezza,110000,Diesel,Manual,1,6.03,9
Mahindra XUV500,95390,Diesel,Manual,1,10.25,7
Mahindra Scorpio,180000,Diesel,Manual,3,1.8,14
Honda Amaze,36980,Petrol,Manual,1,3.2,11
Tata Tiago,42500,Petrol,Manual,2,4.5,3
Mahindra Bolero,82670,Diesel,Manual,4,2.62,11
Hyundai Eon,120000,Petrol,Manual,2,1.28,13
Maruti Wagon R 1.0,98080,Petrol,Manual,4,1.11,13
Renault Scala,100000,Diesel,Manual,2,1.74,12
Fiat Linea,40870,Petrol,Manual,1,1.8,15
Maruti Swift,78240,Petrol,Manual,3,2.15,13
Volkswagen Vento,94940,Diesel,Manual,2,2.31,14
Renault Kwid,36700,Petrol,Manual,1,2.58,8
BMW 3 Series,80970,Diesel,Auto,2,3.96,15
Skoda Rapid,110000,Diesel,Manual,1,5.54,7
Hyundai Santro Xing,94330,Petrol,Manual,2,1.31,12
Maruti Swift,180000,Petrol,Manual,1,3.5,10
Hyundai Elite i20,100000,Diesel,Manual,2,3.5,10
Chevrolet Beat,140000,Diesel,Manual,1,1.05,13
BMW 5 Series,120000,Diesel,Auto,3,14.5,9
Hyundai i10,68310,Petrol,Manual,2,1.38,14
Honda City,95370,Petrol,Manual,1,4.9,9
Tata Zest,78270,Petrol,Manual,1,2.73,11
Mahindra Scorpio,95130,Diesel,Manual,2,10.0,4
Toyota Glanza,85200,Petrol,Manual,2,4.8,5
Mahindra XUV500,110000,Diesel,Manual,3,5.5,10
Renault Kwid,84080,Petrol,Manual,3,2.24,7
Hyundai i20,92400,Petrol,Manual,1,2.61,14
Hyundai Creta,200000,Diesel,Auto,1,6.5,10
Maruti Swift,11500,Petrol,Auto,1,7.8,1
Volkswagen Polo,4600,Petrol,Manual,1,7.36,4
Ford Figo,42850,Petrol,Manual,1,1.37,15
Maruti Wagon R 1.0,32930,Petrol,Manual,1,1.65,15
Hyundai Grand i10,82760,Petrol,Manual,1,3.4,9
Maruti Ertiga,97500,Diesel,Manual,1,4.0,13
Ford Figo,110000,Diesel,Manual,1,1.51,14
Ford Ikon,110000,Diesel,Manual,1,1.2,15
Tata Safari,160000,Diesel,Manual,2,1.3,15
Maruti Alto K10,27800,Petrol,Manual,1,4.0,2
Maruti Alto K10,36670,Petrol,Manual,1,4.75,2
Hyundai Creta,150000,Diesel,Auto,2,6.5,10
Maruti Swift Dzire,60090,Petrol,Manual,1,3.39,12
Maruti SX4,78690,Petrol,Manual,1,1.8,15
Maruti Wagon R 1.0,42250,Petrol,Manual,2,2.6,10
Hyundai Grand i10,74690,Petrol,Manual,2,3.41,9
Renault Duster,100000,Diesel,Manual,3,2.53,12
KIA SELTOS,65330,Petrol,Auto,1,12.0,4
Tata PUNCH,19390,Petrol,Auto,1,7.74,4
Nissan Terrano,100000,Diesel,Manual,3,1.75,11
Ssangyong Rexton,170000,Diesel,Auto,2,3.0,12
Skoda SLAVIA,54270,Petrol,Manual,1,12.5,1
Maruti Ciaz,55960,Petrol,Manual,1,4.2,9
Hyundai i20 Active,68120,Petrol,Manual,3,3.8,10
Mahindra SCORPIO-N,18060,Diesel,Manual,1,16.67,1
Honda Mobilio,78050,Diesel,Manual,2,1.8,11
Maruti Celerio,34920,Petrol,Auto,1,2.43,10
Maruti Swift Dzire,140000,Petrol,Manual,1,3.26,11
Maruti Swift Dzire,120000,Diesel,Manual,1,4.0,10
Maruti Ritz,15080,Petrol,Manual,2,1.5,12
Honda City,95670,Diesel,Manual,3,3.35,10
Honda Amaze,81000,Diesel,Manual,1,5.25,7
Maruti Alto K10,23690,Petrol,Manual,1,4.57,2
Hyundai i10,76070,Petrol,Manual,3,1.3,14
Maruti Alto K10,35280,Petrol,Manual,2,1.9,12
Tata Safari Storme,89190,Diesel,Manual,2,3.95,10
Honda City,85670,Diesel,Manual,3,3.8,11
Tata NEXON,34210,Diesel,Auto,3,9.99,5
Tata Tiago,46060,Petrol,Manual,1,3.65,8
Maruti Swift,54420,Petrol,Manual,1,3.64,9
Honda City,120000,Petrol,Manual,6,1.31,14
Tata NEXON,15390,Petrol,Manual,1,9.5,3
Hyundai Verna,54120,Petrol,Manual,1,3.25,13
Ford Ecosport,190000,Diesel,Manual,1,3.2,10
Hyundai Verna,100000,Diesel,Manual,3,2.87,13
Maruti Ciaz,43540,Petrol,Manual,1,4.5,10
Honda City,58940,Petrol,Manual,2,4.98,7
Toyota Glanza,50510,Petrol,Manual,1,6.2,5
Tata TIGOR,59610,Petrol,Manual,1,4.5,6
Hyundai Verna,110000,Diesel,Manual,2,2.5,13
Honda Amaze,200000,Diesel,Manual,1,5.43,7
Honda City,50990,Petrol,Manual,1,2.84,14
Hyundai Creta,84350,Diesel,Auto,1,7.1,7
Tata ALTROZ,20040,Petrol,Manual,1,6.97,5
Hyundai Elite i20,46420,Petrol,Manual,2,5.29,7
Nissan MAGNITE,43000,Petrol,Manual,1,7.0,3
Tata ALTROZ,8960,Petrol,Manual,3,4.79,5
Honda Brio,76700,Petrol,Manual,2,2.48,12
Honda BR-V,56500,Diesel,Manual,1,5.5,9
Tata NEXON,48320,Petrol,Auto,2,6.25,7
Maruti IGNIS,36280,Petrol,Manual,1,5.0,7
Maruti Ertiga,97380,Diesel,Manual,4,2.8,11
Honda City,110000,Petrol,Manual,1,2.6,15
Hyundai Grand i10,64000,Petrol,Manual,2,3.6,8
Hyundai Grand i10,49580,Petrol,Manual,2,3.29,10
Tata TIGOR,69990,Petrol,Manual,1,5.6,4
Hyundai i20,93220,Petrol,Manual,4,1.71,13
Mahindra Thar,21550,Petrol,Auto,1,12.5,3
Maruti Dzire,65040,Diesel,Manual,1,5.49,7
Hyundai Creta,87770,Diesel,Manual,1,6.5,7
Tata TIGOR,63580,Petrol,Manual,1,5.25,6
MG ASTOR,12170,Petrol,Manual,1,13.5,3
Maruti Alto,76740,Petrol,Manual,4,1.15,14
Ford Ecosport,59130,Diesel,Manual,1,8.69,7
Maruti Baleno,90030,Petrol,Manual,1,6.35,7
Honda Jazz,80840,Petrol,Manual,2,3.6,10
Maruti Baleno,130000,Diesel,Manual,1,4.35,8
Mahindra Xylo,42370,Diesel,Manual,3,5.14,9
Hyundai Elite i20,99980,Petrol,Manual,1,4.33,9
Maruti Baleno,39850,Petrol,Manual,1,6.5,2
Maruti S PRESSO,74480,Petrol,Auto,1,4.15,6
Maruti Alto K10,80500,Petrol,Auto,1,3.65,7
Maruti Ertiga,52150,Petrol,Manual,1,12.53,3
Tata Manza,20170,Diesel,Manual,1,3.0,11
Maruti Ciaz,71260,Petrol,Manual,3,4.86,8
Renault TRIBER,65970,Petrol,Manual,1,6.54,2
Tata Tiago,41970,Petrol,Manual,1,5.25,5
Maruti Ciaz,89690,Petrol,Manual,1,6.2,7
Mahindra Bolero,170000,Diesel,Manual,3,2.64,13
Hyundai NEW I20,87110,Diesel,Manual,1,6.21,5
Hyundai New Elantra,68830,Petrol,Auto,1,10.61,6
Hyundai Creta,86830,Diesel,Manual,2,7.12,10
Landrover Range Rover Evoque,95790,Diesel,Auto,3,11.0,13
Renault Kiger,91740,Petrol,Manual,1,5.5,4
Hyundai Grand i10,5820,Petrol,Auto,1,3.92,9
Tata Safari,110000,Diesel,Manual,1,17.0,3
Maruti FRONX,6940,Petrol,Manual,1,8.5,2
Hyundai AURA,100000,Petrol,Manual,1,6.5,4
Volkswagen TAIGUN,69420,Petrol,Auto,1,11.5,3
Honda City,69640,Petrol,Manual,1,5.5,10
Hyundai Xcent,62680,Petrol,Manual,2,3.25,8
Maruti Baleno,55870,Petrol,Manual,1,5.25,8
Maruti Ertiga,87300,Diesel,Manual,3,4.15,12
Mahindra XUV300,45590,Petrol,Auto,2,7.43,3
Mahindra XUV500,71290,Diesel,Manual,3,2.67,13
Honda City,28210,Petrol,Manual,1,3.0,15
Honda City,65530,Diesel,Manual,2,5.26,9
Nissan Micra,100000,Petrol,Manual,1,1.97,12
Hyundai Creta,110000,Diesel,Manual,2,5.5,10
Mahindra Bolero,100000,Diesel,Manual,3,2.69,12
Honda Amaze,91660,Petrol,Manual,1,5.85,6
Maruti New Wagon-R,54790,Petrol,Manual,1,5.2,3
Ford Ecosport,120000,Diesel,Manual,1,3.57,11
Mahindra XUV500,86150,Diesel,Manual,1,5.2,10
Honda City,62420,Petrol,Manual,2,6.3,7
Tata Safari Storme,64640,Diesel,Manual,3,3.71,12
Maruti Vitara Brezza,39660,Diesel,Auto,1,7.27,7
Audi A4,69530,Diesel,Auto,1,9.0,10
Skoda Rapid,110000,Diesel,Manual,1,2.4,11
Hyundai Elite i20,73280,Petrol,Manual,2,4.49,9
Ford Ecosport,130000,Diesel,Manual,1,5.5,7
Jeep Compass,92590,Diesel,Manual,1,9.5,8
Ford Ecosport,120000,Diesel,Manual,2,2.78,12
Hyundai Creta,49200,Petrol,Manual,1,6.5,8
Maruti Swift Dzire,61060,Petrol,Manual,1,3.8,12
Mahindra XUV500,91180,Diesel,Manual,3,2.65,12
Mahindra Scorpio,140000,Diesel,Manual,2,3.5,11
Honda WR-V,59600,Petrol,Manual,1,6.68,6
Renault Duster,130000,Diesel,Auto,1,5.5,7
Maruti XL6,93550,Petrol,Auto,1,11.1,3
Tata TIAGO NRG,21050,Petrol,Manual,1,6.35,2
Tata Harrier,65760,Diesel,Manual,1,9.0,6
Maruti Alto K10,50680,Petrol,Manual,1,3.12,9
Hyundai Elite i20,120000,Petrol,Manual,1,4.58,9
Maruti Baleno,31050,Petrol,Auto,1,9.35,2
Mahindra Scorpio,150000,Diesel,Manual,1,4.29,12
Honda Civic,9850,Petrol,Auto,3,15.0,5
Audi Q3,130000,Diesel,Auto,2,4.96,13
Tata NEXON,13410,Diesel,Manual,1,13.12,1
Mahindra XUV500,150000,Diesel,Manual,1,10.0,6
Maruti Swift,48860,Petrol,Auto,2,5.14,6
Hyundai Verna,74560,Petrol,Manual,1,10.9,3
Renault Kwid,34920,Petrol,Manual,1,4.4,4
Honda City,78210,Petrol,Auto,1,7.3,6
Maruti New Wagon-R,18600,Petrol,Manual,1,5.69,2
Tata NEXON,36160,Diesel,Manual,2,8.1,5
Hyundai Grand i10,60210,Petrol,Manual,2,3.22,10
Mahindra Scorpio,130000,Diesel,Auto,1,4.0,12
Honda City,59460,Petrol,Manual,1,9.5,4
Maruti Ciaz,63100,Petrol,Manual,2,6.8,8
Mahindra XUV500,130000,Diesel,Manual,1,11.0,6
Honda City,27100,Petrol,Manual,1,9.5,4
Toyota Fortuner,220000,Diesel,Manual,1,9.0,11
Honda City,60200,Petrol,Auto,1,8.0,6
Maruti Vitara Brezza,82220,Diesel,Manual,1,4.85,8
Mahindra XUV700,50450,Petrol,Manual,1,18.56,3
Mahindra Scorpio,229999,Diesel,Manual,1,3.26,12
Honda Jazz,39740,Petrol,Manual,1,4.15,9
Hyundai Eon,5710,Petrol,Manual,1,3.21,7
Maruti Baleno,7050,Petrol,Auto,1,9.99,2
Toyota Glanza,86350,Petrol,Auto,1,7.19,4
Mahindra XUV500,82960,Diesel,Manual,1,13.0,5
Honda City,190000,Diesel,Manual,1,6.5,8
Toyota Fortuner,250000,Diesel,Manual,1,11.61,11
Maruti Grand Vitara,15750,Petrol,Manual,1,14.5,3
Mahindra TUV300,69920,Diesel,Manual,1,4.6,9
Ford Ecosport,39040,Petrol,Auto,2,6.77,7
Hyundai Grand i10,47740,Petrol,Manual,2,4.0,9
Hyundai Verna,100000,Diesel,Manual,2,3.2,13
Skoda Kodiaq,150000,Diesel,Auto,1,14.0,8
Maruti Vitara Brezza,59370,Diesel,Manual,1,6.5,7
Fiat Avventura,60840,Diesel,Manual,2,3.25,8
Hyundai i20 Active,83100,Diesel,Manual,2,4.1,9
Tata Hexa,160000,Diesel,Manual,1,7.0,8
Honda Amaze,110000,Diesel,Manual,3,5.15,7
Mahindra Scorpio,65330,Diesel,Manual,2,11.0,6
Honda Jazz,74620,Petrol,Auto,2,4.52,8
Renault Duster,91070,Diesel,Manual,1,6.37,7
Hyundai Grand i10,170000,Petrol,Manual,1,3.15,10
Nissan Kicks,8330,Petrol,Manual,1,9.0,3
Mahindra XUV500,68840,Diesel,Manual,1,3.0,13
Mahindra XUV500,160000,Diesel,Manual,1,3.1,13
Ford Endeavour,240000,Diesel,Auto,1,16.0,8
Mahindra Thar,37140,Diesel,Manual,1,13.5,2
Volkswagen Polo,84100,Petrol,Manual,2,2.94,12
Ford Ecosport,85530,Diesel,Manual,1,5.0,7
Ford Ecosport,140000,Diesel,Manual,1,7.0,8
Hyundai New Elantra,110000,Diesel,Manual,1,3.59,11
Mahindra Thar,90140,Diesel,Auto,1,10.5,4
Toyota Fortuner,170000,Diesel,Manual,1,9.14,13
Hyundai Verna,45310,Diesel,Manual,1,8.63,6
Mahindra Scorpio,45570,Diesel,Manual,1,12.0,4
Mahindra XUV500,110000,Diesel,Manual,1,3.75,12
Mahindra TUV300,91400,Diesel,Manual,1,6.0,5
Ssangyong Rexton,81940,Diesel,Auto,2,5.24,10
Ford Figo Aspire,110000,Diesel,Manual,1,2.95,9
Hyundai GRAND I10 NIOS,36350,Petrol,Manual,1,5.2,6
Renault Duster,120000,Diesel,Manual,2,2.95,11
Renault Duster,160000,Diesel,Manual,1,3.21,12
Honda Amaze,59260,Petrol,Manual,1,5.4,4
KIA SELTOS,66660,Diesel,Auto,1,13.0,3
Renault Duster,150000,Diesel,Manual,1,3.7,11
Mahindra Thar,25460,Petrol,Manual,2,10.44,4
KIA SONET,160000,Diesel,Manual,1,8.0,4
Hyundai Creta,66100,Diesel,Manual,1,6.0,10
Mahindra XUV500,65010,Diesel,Manual,2,11.01,13
Maruti Dzire,65250,Petrol,Manual,1,4.9,8
Maruti Ciaz,97830,Petrol,Manual,1,4.39,8
Maruti Ertiga,130000,Diesel,Manual,1,4.5,12
Jaguar XF,77110,Diesel,Auto,2,12.33,10
Hyundai Creta,8720,Diesel,Manual,2,12.79,4
Hyundai Creta,67390,Petrol,Manual,1,12.95,2
Hyundai Verna,68500,Diesel,Manual,1,10.8,6
Ford Endeavour,150000,Diesel,Auto,2,4.07,15
Maruti Dzire,190000,Diesel,Manual,1,5.5,8
KIA SONET,38180,Diesel,Auto,1,12.0,2
Renault Kiger,27900,Petrol,Manual,1,7.0,3
Hyundai VENUE N LINE,34160,Petrol,Manual,1,10.79,2
Maruti Ciaz,110000,Diesel,Manual,2,3.7,9
Maruti Wagon R 1.0,75210,Petrol,Manual,1,3.23,7
Hyundai Creta,86120,Diesel,Manual,1,9.47,8
KIA SELTOS,29500,Petrol,Manual,1,13.5,5
Hyundai VENUE,79870,Diesel,Manual,3,6.7,6
Ford Ecosport,98260,Diesel,Manual,2,3.7,10
Tata Safari,91250,Diesel,Manual,1,14.5,3
Ford Endeavour,120000,Diesel,Auto,2,14.5,9
Hyundai AURA,30800,Petrol,Manual,1,8.0,2
Volkswagen Polo,28000,Diesel,Manual,1,4.27,12
Tata Safari Storme,150000,Diesel,Manual,2,4.7,9
Ford Figo Aspire,140000,Diesel,Manual,1,3.96,10
Renault Duster,70450,Petrol,Manual,3,2.95,11
Hyundai Grand i10,27480,Petrol,Manual,2,4.26,6
Skoda KUSHAQ,68920,Petrol,Manual,1,11.12,4
Maruti Ciaz,39800,Petrol,Auto,1,11.25,3
Maruti S Cross,100000,Diesel,Manual,2,3.2,9
Maruti Celerio,23520,Petrol,Manual,1,4.28,5
Honda City,55590,Petrol,Auto,2,7.8,7
Hyundai VENUE,38680,Diesel,Manual,1,10.5,2
Honda WR-V,19000,Petrol,Manual,1,9.0,3
Mahindra XUV500,49710,Diesel,Manual,1,8.18,9
Tata NEXON,48870,Diesel,Manual,1,5.6,8
Renault Duster,89830,Diesel,Manual,1,3.28,12
Skoda Superb,91730,Diesel,Auto,3,5.56,12
Mahindra Scorpio,120000,Diesel,Manual,1,10.5,8
Maruti Swift,44520,Petrol,Manual,2,3.37,10
Maruti Dzire,31310,Petrol,Manual,1,5.5,8
Honda City,50090,Petrol,Manual,1,6.26,9
Maruti Ertiga,41630,Petrol,Manual,1,10.46,4
KIA SELTOS,90310,Petrol,Auto,2,10.71,6
Maruti Baleno,28000,Petrol,Auto,1,9.16,2
Hyundai Creta,85840,Diesel,Auto,2,6.9,8
Maruti Ertiga,140000,Diesel,Manual,1,5.0,9
KIA SELTOS,42400,Diesel,Auto,1,12.98,3
Mahindra Scorpio,170000,Diesel,Manual,2,3.2,13
Jeep Compass,32049,Petrol,Auto,1,16.37,6
Hyundai Santa Fe,160000,Diesel,Auto,4,3.18,14
Volkswagen VIRTUS,31100,Petrol,Auto,1,15.81,2
Volkswagen TIGUAN,22150,Diesel,Auto,1,16.95,8
Audi A6,86510,Diesel,Auto,3,8.0,13
Jeep Compass,130000,Diesel,Manual,2,10.0,7
Toyota Fortuner,140000,Diesel,Manual,3,8.0,14
Tata Safari Storme,150000,Diesel,Manual,1,3.79,12
Audi Q3,170000,Diesel,Auto,1,10.0,10
Maruti Vitara Brezza,96750,Diesel,Manual,2,5.0,9
Maruti XL6,45060,Petrol,Manual,1,9.95,3
Ford Ecosport,64530,Diesel,Manual,1,7.9,7
Maruti S Cross,88800,Diesel,Manual,1,4.66,9
Audi Q3,110000,Diesel,Auto,1,9.4,11
Tata TIGOR EV,82500,Electric,Auto,1,9.58,4
Skoda Kodiaq,150000,Diesel,Auto,1,14.0,8
Mahindra XUV500,91810,Diesel,Manual,1,3.5,12
Ford Ecosport,95740,Diesel,Manual,2,4.65,7
Toyota Fortuner,110000,Diesel,Manual,1,7.75,13
Mahindra Scorpio,130000,Diesel,Manual,1,12.5,6
Mahindra XUV300,72870,Petrol,Manual,1,8.0,5
Mahindra Bolero,67140,Diesel,Manual,2,6.45,5
Hyundai Creta,87330,Diesel,Manual,1,6.5,10
Maruti New Wagon-R,34580,Petrol,Manual,1,4.57,5
Toyota Fortuner,150000,Diesel,Manual,2,5.71,15
Toyota Innova,130000,Diesel,Manual,2,6.17,9
KIA SELTOS,80890,Diesel,Manual,1,9.25,6
Skoda Superb,210000,Petrol,Auto,1,12.5,9
Maruti Vitara Brezza,89340,Diesel,Manual,2,4.21,9
BMW 5 Series,71740,Diesel,Auto,3,6.0,14
Renault Duster,190000,Diesel,Manual,1,4.35,11
Hyundai Verna,120000,Petrol,Manual,2,4.47,11
BMW 3 Series,110000,Diesel,Auto,1,13.0,9
MG HECTOR,38010,Petrol,Auto,3,16.29,3
Hyundai i20 Active,87380,Petrol,Manual,2,5.42,6
Mahindra XUV300,57670,Diesel,Manual,1,10.9,2
Mercedes Benz E Class,38880,Diesel,Auto,3,10.0,13
Mahindra MARAZZO,130000,Diesel,Manual,1,8.5,7
MG HECTOR,86540,Diesel,Manual,2,10.5,6
Datsun Go Plus,33160,Petrol,Manual,1,4.52,5
Toyota Fortuner,140000,Diesel,Auto,3,11.64,10
Tata Safari,20610,Diesel,Manual,1,15.48,4
Honda Jazz,68290,Petrol,Auto,1,5.35,7
MG HECTOR,30130,Diesel,Manual,1,14.5,6
Maruti Swift Dzire,52890,Petrol,Manual,2,5.5,4
Mahindra Bolero,18890,Diesel,Manual,1,10.3,1
Mahindra SCORPIO-N,17210,Petrol,Manual,2,16.5,3
MG HECTOR,91500,Diesel,Manual,1,14.5,5
Toyota Innova,120000,Diesel,Manual,1,7.0,10
Tata Harrier,130000,Diesel,Manual,1,12.02,6
Mahindra Thar,13740,Diesel,Auto,1,14.9,3
Mitsubishi Pajero Sport,260000,Diesel,Manual,1,9.0,11
MG HECTOR,24970,Diesel,Manual,1,16.51,3
Audi Q7,120000,Diesel,Auto,3,11.01,11
MG HECTOR,54560,Petrol,Auto,1,18.5,2
Mitsubishi Pajero Sport,130000,Diesel,Manual,1,11.0,10
Tata NEXON EV,76070,Electric,Auto,1,10.0,4
Jeep Compass,90520,Diesel,Manual,2,14.03,5
Mahindra ALTURAS G4,180000,Diesel,Auto,2,18.35,7
Ford Endeavour,190000,Diesel,Auto,3,18.5,7
Hyundai Creta,33090,Petrol,Manual,1,12.25,4
Volkswagen TAIGUN,12300,Petrol,Manual,1,12.9,3
Maruti Alto 800,43890,Petrol,Manual,1,2.95,8
Skoda KUSHAQ,13400,Petrol,Auto,1,14.8,2
Hyundai Creta,68790,Petrol,Manual,1,11.9,5
Mahindra Thar,33150,Petrol,Manual,1,13.4,2
MG ASTOR,20490,Petrol,Manual,1,10.4,3
KIA SELTOS,10930,Petrol,Auto,1,17.9,2
Hyundai VENUE N LINE,7570,Petrol,Auto,1,12.8,1
Mahindra Thar,39590,Petrol,Manual,1,13.5,4
Mahindra BOLERO NEO,25780,Diesel,Manual,1,9.25,3
Toyota Innova Crysta,110000,Diesel,Manual,1,17.7,4
Tata NEXON,11410,Petrol,Manual,1,7.82,1
Maruti Swift Dzire,120000,Petrol,Manual,5,2.5,11
Skoda Rapid,180000,Diesel,Auto,2,4.81,9
Maruti Alto,29440,Petrol,Manual,1,3.0,5
Maruti Ertiga,58720,Diesel,Manual,1,4.81,11
Tata Hexa,89660,Diesel,Manual,1,6.5,8
Mahindra Scorpio,140000,Diesel,Manual,1,4.07,14
Maruti Baleno,200000,Diesel,Manual,1,4.56,9
Hyundai Elite i20,72990,Petrol,Manual,3,2.83,10
Maruti Vitara Brezza,85560,Diesel,Manual,1,5.49,9
Hyundai Elite i20,49130,Petrol,Manual,2,3.98,8
Maruti Swift,64000,Petrol,Manual,1,3.99,8
Maruti Celerio,91330,Petrol,Manual,1,3.61,8
Maruti Alto,91540,Petrol,Manual,4,1.0,15
Mahindra Scorpio,27260,Diesel,Manual,1,18.42,4
Tata PUNCH,52400,Petrol,Manual,1,8.28,4
Maruti Swift,59220,Petrol,Manual,1,5.0,5
Hyundai EXTER,11790,Petrol,Manual,1,7.0,2
Nissan Terrano,67970,Diesel,Manual,2,4.21,11
Hyundai VENUE,43580,Petrol,Manual,1,8.0,3
Maruti BREZZA,23050,Petrol,Manual,1,10.0,2
Renault Duster,210000,Diesel,Manual,1,3.58,10
Maruti Wagon R 1.0,21450,Petrol,Manual,1,2.67,13
Maruti Dzire,28390,Petrol,Manual,1,6.55,2
Mahindra Scorpio,150000,Diesel,Manual,1,8.0,10
Maruti Eeco,11870,Petrol,Manual,1,6.5,1
MG HECTOR PLUS,71790,Diesel,Manual,2,15.96,3
MG HECTOR,46540,Diesel,Manual,2,11.5,5
Hyundai i10,93160,Petrol,Manual,4,1.7,14
Maruti Alto 800,59530,Petrol,Manual,1,2.4,8
Hyundai i10,110000,Petrol,Manual,4,2.25,12
Maruti Wagon R 1.0,62490,Petrol,Manual,3,1.9,14
Hyundai i20,150000,Petrol,Manual,3,1.5,15
Hyundai i20,63250,Petrol,Manual,2,3.46,12
Ford Fiesta,130000,Diesel,Manual,2,1.39,14
Hyundai Elite i20,69770,Petrol,Manual,1,5.0,9
Maruti Ertiga,110000,Diesel,Manual,2,8.65,9
Volkswagen Vento,220000,Diesel,Manual,1,5.03,11
Hyundai Elite i20,44140,Petrol,Manual,2,4.5,9
Maruti Swift Dzire,150000,Diesel,Manual,2,4.0,13
Hyundai Grand i10,51300,Petrol,Auto,4,4.11,9
Maruti Swift Dzire,60120,Petrol,Manual,1,6.12,9
Hyundai Grand i10,64400,Diesel,Manual,2,5.27,7
Mahindra Bolero,409999,Diesel,Manual,1,3.8,13
Hyundai Creta,79080,Diesel,Auto,1,15.5,4
Jeep Compass,88400,Diesel,Manual,2,8.5,8
Tata ALTROZ,20360,Petrol,Manual,1,6.18,5
Mahindra MARAZZO,79530,Diesel,Manual,1,5.5,7
Toyota Etios,78210,Petrol,Manual,1,2.0,14
Hyundai i10,85210,Petrol,Manual,2,1.69,12
Tata Harrier,48230,Diesel,Manual,1,12.0,3
Tata Zest,83420,Petrol,Manual,2,2.67,9
Hyundai Creta,56370,Petrol,Manual,1,8.0,4
Chevrolet Sail,92190,Petrol,Manual,2,1.58,10
Maruti Ciaz,90000,Petrol,Manual,2,5.83,6
Honda CRV,6530,Petrol,Auto,3,1.55,15
Ford Ecosport,91790,Diesel,Manual,1,3.88,9
Mahindra Thar,20070,Petrol,Manual,2,13.25,3
Tata NEXON,29990,Petrol,Manual,1,9.5,3
Maruti Swift Dzire,170000,Petrol,Manual,4,2.66,9
Maruti Alto 800,61130,Petrol,Manual,1,1.7,12
Mahindra XUV300,47530,Diesel,Manual,2,5.85,5
Maruti Alto K10,69670,Petrol,Manual,2,2.31,9
Honda Mobilio,32150,Petrol,Manual,3,3.0,10
Maruti Celerio,96040,Petrol,Manual,2,2.84,11
Nissan MAGNITE,76140,Petrol,Manual,1,6.44,4
Renault Kwid,18980,Petrol,Manual,1,4.5,3
Maruti Alto,13220,Petrol,Manual,1,3.5,6
Honda WR-V,2050,Petrol,Manual,1,9.0,3
Volkswagen Ameo,140000,Diesel,Manual,2,3.5,9
Mahindra XUV500,180000,Diesel,Manual,1,7.5,10
Maruti Ertiga,3240,Petrol,Auto,1,16.2,1
Mahindra XUV300,25520,Diesel,Manual,1,11.69,2
Nissan MAGNITE,50440,CNG,Manual,1,5.75,2
Mahindra Thar,16880,Petrol,Auto,1,13.25,3
Renault Kwid,62640,Petrol,Auto,1,2.38,8
Honda City,48290,Petrol,Auto,2,4.47,10
Maruti Alto K10,52910,Petrol,Manual,1,3.5,3
Tata NEXON,73190,Petrol,Manual,1,6.4,4
Maruti Baleno,57010,Petrol,Manual,1,4.45,7
Mahindra XUV500,64930,Diesel,Auto,1,10.75,7
Honda WR-V,66340,Petrol,Manual,1,5.5,7
Volkswagen TAIGUN,58420,Petrol,Manual,2,9.5,4
Tata PUNCH,14010,Petrol,Manual,1,5.51,1
Hyundai i10,52980,Petrol,Manual,1,2.31,10
Tata Curvv,2540,Petrol,Manual,1,10.51,1
Hyundai Creta,85300,Diesel,Manual,1,10.75,6
Tata Tiago,19450,CNG,Manual,1,5.75,2
Maruti JIMNY,32820,CNG,Manual,1,10.8,2
